TimeStamp,SampleNo,X-Axis,Y-Axis,Z-Axis,SensorType,SensorID
235,0,-0.869140625,-0.351806640625,0.26806640625,0,3
307,1,-0.86865234375,-0.354736328125,0.26611328125,0,3
348,2,-0.94140625,-0.305419921875,0.22802734375,0,3
410,3,-0.8505859375,-0.29931640625,0.2373046875,0,3
442,4,-0.849365234375,-0.30517578125,0.23876953125,0,3
525,5,-0.8681640625,-0.30029296875,0.242919921875,0,3
576,6,-0.940673828125,-0.303466796875,0.246337890625,0,3
628,7,-0.940673828125,-0.303466796875,0.246337890625,0,3
710,8,-0.9443359375,-0.302734375,0.238525390625,0,3
772,9,-0.953857421875,-0.30224609375,0.235595703125,0,3
798,10,-0.953857421875,-0.30224609375,0.235595703125,0,3
835,11,-0.949462890625,-0.286865234375,0.229248046875,0,3
919,12,-0.9462890625,-0.342041015625,0.27685546875,0,3
968,13,-0.870849609375,-0.34033203125,0.273193359375,0,3
1059,14,-0.93994140625,-0.337646484375,0.2587890625,0,3
1177,15,-0.94677734375,-0.290771484375,0.256591796875,0,3
1218,16,-0.941162109375,-0.302001953125,0.265625,0,3
1290,17,-0.95556640625,-0.3056640625,0.2705078125,0,3
1327,18,-0.94775390625,-0.311279296875,0.268310546875,0,3
1363,19,-0.961181640625,-0.3759765625,0.275390625,0,3
1392,20,-0.961181640625,-0.3759765625,0.275390625,0,3
1440,21,-0.962646484375,-0.3759765625,0.220703125,0,3
1523,22,-0.949462890625,-0.300537109375,0.268798828125,0,3
1548,23,-0.953125,-0.290283203125,0.26318359375,0,3
1571,24,-0.953125,-0.290283203125,0.26318359375,0,3
1593,25,-0.95166015625,-0.29443359375,0.254150390625,0,3
1621,26,-0.95166015625,-0.29443359375,0.254150390625,0,3
1647,27,-0.95361328125,-0.28369140625,0.1845703125,0,3
1677,28,-0.95361328125,-0.28369140625,0.1845703125,0,3
1715,29,-0.96142578125,-0.288818359375,0.180908203125,0,3
1749,30,-0.914306640625,-0.340087890625,0.17333984375,0,3
1783,31,-0.914306640625,-0.340087890625,0.17333984375,0,3
1810,32,-0.9072265625,-0.321044921875,0.159423828125,0,3
1843,33,-0.96484375,-0.237060546875,0.2109375,0,3
1882,34,-0.96484375,-0.237060546875,0.2109375,0,3
1925,35,-1.015625,-0.169677734375,0.189697265625,0,3
1991,36,-0.91650390625,-0.15625,-0.00146484375,0,3
2042,37,-0.962646484375,-0.056396484375,-0.08349609375,0,3
2151,38,-0.9794921875,-0.217529296875,-0.127685546875,0,3
2225,39,-1.150634765625,-0.2216796875,-0.054443359375,0,3
2268,40,-1.0166015625,-0.304931640625,-0.07568359375,0,3
2294,41,-0.923583984375,-0.385009765625,0.032470703125,0,3
2408,42,-0.931884765625,-0.11083984375,0.271484375,0,3
2501,43,-0.90087890625,0.061767578125,0.15478515625,0,3
2586,44,-0.917724609375,0.01416015625,-0.24609375,0,3
2635,45,-0.917724609375,0.01416015625,-0.24609375,0,3
2686,46,-0.501953125,0.134521484375,0.066162109375,0,3
2753,47,-0.44482421875,-0.0830078125,-0.007080078125,0,3
2822,48,-0.75927734375,-0.22802734375,-0.110107421875,0,3
2889,49,-1.039306640625,-0.156982421875,-0.721923828125,0,3
2916,50,-1.019775390625,-0.057373046875,-0.850830078125,0,3
2979,51,-0.97119140625,-0.015380859375,-0.66259765625,0,3
2988,52,-0.97119140625,-0.015380859375,-0.66259765625,0,3
3018,53,-0.97119140625,-0.015380859375,-0.66259765625,0,3
3036,54,-0.97119140625,-0.015380859375,-0.66259765625,0,3
3048,55,-0.97119140625,-0.015380859375,-0.66259765625,0,3
3080,56,-0.97119140625,-0.015380859375,-0.66259765625,0,3
3148,57,-1.0078125,0.205322265625,-0.17578125,0,3
3171,58,-0.69140625,-0.231201171875,-0.43115234375,0,3
3198,59,-0.69140625,-0.231201171875,-0.43115234375,0,3
3269,60,-1.088623046875,0.250732421875,-0.373046875,0,3
3278,61,-1.088623046875,0.250732421875,-0.373046875,0,3
3302,62,-1.034912109375,-0.039306640625,-0.319091796875,0,3
3375,63,-0.83251953125,-0.11279296875,-0.2119140625,0,3
3404,64,-0.713623046875,-0.399658203125,-0.203125,0,3
3438,65,-0.713623046875,-0.399658203125,-0.203125,0,3
3464,66,-0.872314453125,-0.286865234375,0.03076171875,0,3
3488,67,-0.872314453125,-0.286865234375,0.03076171875,0,3
3510,68,-1.39111328125,-0.467529296875,0.039794921875,0,3
3537,69,-1.39111328125,-0.467529296875,0.039794921875,0,3
3560,70,-0.8779296875,-0.382080078125,0.141845703125,0,3
3594,71,-0.49658203125,-0.23681640625,0.30126953125,0,3
3643,72,-0.931884765625,-0.44189453125,0.28662109375,0,3
3692,73,-1.017822265625,-0.502197265625,0.239013671875,0,3
3742,74,-0.849609375,-0.465576171875,0.32666015625,0,3
3796,75,-0.8798828125,-0.5927734375,0.31494140625,0,3
3893,76,-0.791748046875,-0.412353515625,0.629638671875,0,3
3943,77,-0.599853515625,-0.558349609375,0.801025390625,0,3
3974,78,-0.599853515625,-0.558349609375,0.801025390625,0,3
4001,79,-0.601806640625,-0.486328125,0.88671875,0,3
4035,80,-0.390380859375,-0.4013671875,0.9052734375,0,3
4148,81,-0.44970703125,-0.302001953125,0.97119140625,0,3
4191,82,-0.455078125,-0.340576171875,1.01171875,0,3
4232,83,-0.324951171875,-0.2294921875,1.0087890625,0,3
4254,84,-0.324951171875,-0.2294921875,1.0087890625,0,3
4345,85,-0.258544921875,-0.323486328125,0.956787109375,0,3
4424,86,-0.2138671875,-0.5654296875,1.0830078125,0,3
4479,87,-0.029541015625,-0.354736328125,1.018310546875,0,3
4571,88,-0.068115234375,-0.316162109375,1.08642578125,0,3
4591,89,-0.068115234375,-0.316162109375,1.08642578125,0,3
4624,90,-0.015380859375,-0.189697265625,1.2734375,0,3
4655,91,-0.015380859375,-0.189697265625,1.2734375,0,3
4677,92,0.135009765625,-0.193603515625,1.097900390625,0,3
4718,93,0.1083984375,-0.157958984375,0.926513671875,0,3
4771,94,0.157470703125,-0.5634765625,0.707763671875,0,3
4832,95,0.0615234375,-0.544921875,0.753662109375,0,3
4871,96,0.26904296875,-0.536376953125,0.823974609375,0,3
4916,97,0.167724609375,-0.659912109375,0.947509765625,0,3
4960,98,0.2490234375,-0.65771484375,0.9775390625,0,3
5013,99,0.320068359375,-0.413818359375,0.96484375,0,3
5132,100,0.386474609375,-0.3837890625,0.81591796875,0,3
5256,101,0.276123046875,-0.49072265625,0.90185546875,0,3
5312,102,0.520263671875,-0.616455078125,0.802001953125,0,3
5344,103,0.520263671875,-0.616455078125,0.802001953125,0,3
5394,104,0.49951171875,-0.7744140625,0.715087890625,0,3
5439,105,0.483642578125,-0.373291015625,0.774169921875,0,3
5475,106,0.576171875,-0.570556640625,0.737060546875,0,3
5563,107,0.50146484375,-0.5205078125,0.753173828125,0,3
5569,108,0.50146484375,-0.5205078125,0.753173828125,0,3
5573,109,0.50146484375,-0.5205078125,0.753173828125,0,3
5591,110,0.437255859375,-0.413818359375,0.7509765625,0,3
5628,111,0.437255859375,-0.413818359375,0.7509765625,0,3
5652,112,0.429931640625,-0.349365234375,0.694580078125,0,3
5692,113,0.34814453125,-0.486328125,0.72607421875,0,3
5758,114,0.110595703125,-0.45361328125,1.114990234375,0,3
5790,115,0.388427734375,-0.412109375,0.67138671875,0,3
5836,116,0.40380859375,-0.5888671875,0.898681640625,0,3
5885,117,0.442626953125,-0.574462890625,0.798095703125,0,3
5937,118,0.37744140625,-0.43212890625,0.8720703125,0,3
5985,119,0.350341796875,-0.431884765625,0.94873046875,0,3
6051,120,0.39453125,-0.435302734375,0.947021484375,0,3
6087,121,0.38427734375,-0.454345703125,0.940185546875,0,3
6160,122,0.345458984375,-0.583251953125,0.782958984375,0,3
6222,123,0.34912109375,-0.415771484375,0.87353515625,0,3
6303,124,0.354736328125,-0.49365234375,0.852783203125,0,3
6386,125,0.346923828125,-0.420654296875,0.84716796875,0,3
6406,126,0.346923828125,-0.420654296875,0.84716796875,0,3
6426,127,0.397216796875,-0.477783203125,0.90478515625,0,3
6453,128,0.397216796875,-0.477783203125,0.90478515625,0,3
6518,129,0.39990234375,-0.48486328125,0.846435546875,0,3
6569,130,0.35302734375,-0.52099609375,0.867431640625,0,3
6679,131,0.344970703125,-0.4794921875,0.903564453125,0,3
6818,132,0.39404296875,-0.479248046875,0.84814453125,0,3
6912,133,0.346435546875,-0.435302734375,0.88623046875,0,3
6951,134,0.38134765625,-0.427001953125,0.89599609375,0,3
6991,135,0.390380859375,-0.638671875,0.9404296875,0,3
7030,136,0.353271484375,0.189453125,1.165283203125,0,3
7110,137,0.31689453125,-0.320556640625,0.85595703125,0,3
7150,138,0.31689453125,-0.320556640625,0.85595703125,0,3
7184,139,0.11328125,-0.360107421875,0.8271484375,0,3
7208,140,0.087890625,-0.533447265625,0.721435546875,0,3
7236,141,0.087890625,-0.533447265625,0.721435546875,0,3
7288,142,0.149658203125,-0.759521484375,0.77978515625,0,3
7306,143,-0.04443359375,-0.98291015625,0.47412109375,0,3
7319,144,-0.04443359375,-0.98291015625,0.47412109375,0,3
7340,145,-0.04443359375,-0.98291015625,0.47412109375,0,3
7356,146,0.07861328125,-0.397705078125,1.251708984375,0,3
7424,147,0.09423828125,-0.921142578125,1.435546875,0,3
7466,148,-0.191162109375,-0.50830078125,0.7578125,0,3
7507,149,-0.3388671875,-0.708740234375,0.879150390625,0,3
7548,150,-0.03564453125,-0.7978515625,0.81298828125,0,3
7611,151,-0.1298828125,-0.78564453125,0.649169921875,0,3
7661,152,-0.06298828125,-0.957763671875,0.578857421875,0,3
7712,153,-0.064453125,-1.2109375,0.839599609375,0,3
7759,154,-0.011962890625,-0.955322265625,0.808837890625,0,3
7790,155,0.13671875,-0.871826171875,0.476318359375,0,3
7846,156,0.41748046875,-0.2978515625,0.0537109375,0,3
7983,157,-0.155029296875,-0.798828125,0.589111328125,0,3
8046,158,-0.224609375,0.006103515625,0.900146484375,0,3
8092,159,-0.55517578125,-0.749755859375,-0.345947265625,0,3
8108,160,-0.55517578125,-0.749755859375,-0.345947265625,0,3
8131,161,-0.333251953125,-2.02783203125,-1.62744140625,0,3
8171,162,-0.333251953125,-2.02783203125,-1.62744140625,0,3
8247,163,-0.7392578125,-1.578369140625,-0.079345703125,0,3
8354,164,-0.64794921875,-0.832763671875,0.20068359375,0,3
8462,165,-0.5703125,-0.742919921875,0.15625,0,3
8509,166,-0.5703125,-0.742919921875,0.15625,0,3
8551,167,-0.92724609375,-0.82080078125,0.001220703125,0,3
8575,168,-0.90087890625,-0.468994140625,-0.044189453125,0,3
8620,169,-0.6064453125,-0.43994140625,0.138916015625,0,3
8649,170,-0.6064453125,-0.43994140625,0.138916015625,0,3
